identification,serialNumber,ipv6,mode,coords,switches,activetime,fwversion,gateway
80:4B:50:FF:FE:2D:DE:0E,212601SLC000029,bde3::824b:50ff:fe2d:de0e,AUTOMATICO,255/255,635,455780,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DC:35,212601SLC000301,bde3::824b:50ff:fe2d:dc35,AUTOMATICO,255/255,613,937830,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:CD,212601SLC000015,bde3::86fd:27ff:fefe:48cd,AUTOMATICO,255/255,624,335050,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:12,212601SLC000017,bde3::824b:50ff:fe2d:de12,AUTOMATICO,255/255,634,836827,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E4:80,212601SLC000034,bde3::824b:50ff:fe2d:e480,AUTOMATICO,255/255,614,509839,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:49:EA,212601SLC000013,bde3::86fd:27ff:fefe:49ea,AUTOMATICO,255/255,620,2047877,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:1A,212601SLC000327,bde3::86fd:27ff:fefe:481a,AUTOMATICO,255/255,621,211961,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:7F,212601SLC000288,bde3::86fd:27ff:fefe:487f,AUTOMATICO,255/255,628,731942,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DA:3D,212601SLC000027,bde3::824b:50ff:fe2d:da3d,AUTOMATICO,255/255,609,211968,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E2:C3,212601SLC000282,bde3::824b:50ff:fe2d:e2c3,AUTOMATICO,255/255,615,755011,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E0:61,212601SLC000660,bde3::824b:50ff:fe2d:e061,AUTOMATICO,255/255,626,ERROR,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:33,212601SLC000644,bde3::86fd:27ff:fefe:4833,AUTOMATICO,255/255,637,2379842,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E3:82,212601SLC000658,bde3::824b:50ff:fe2d:e382,AUTOMATICO,255/255,613,ERROR,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:4A:7A,212601SLC000655,bde3::86fd:27ff:fefe:4a7a,AUTOMATICO,255/255,608,528334,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:47:F2,212601SLC000645,bde3::86fd:27ff:fefe:47f2,AUTOMATICO,255/255,606,1524004,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:4B:17,212601SLC000654,bde3::86fd:27ff:fefe:4b17,AUTOMATICO,255/255,628,278638,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E3:2A,212601SLC000664,bde3::824b:50ff:fe2d:e32a,AUTOMATICO,255/255,618,684483,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DC:1F,212601SLC000663,bde3::824b:50ff:fe2d:dc1f,AUTOMATICO,-22.255/-45.6784,631,590723,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:47:19,212601SLC000315,bde3::86fd:27ff:fefe:4719,AUTOMATICO,255/255,622,137144,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:C4,212601SLC000314,bde3::824b:50ff:fe2d:dec4,AUTOMATICO,255/255,601,757419,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E3:9C,212601SLC000656,bde3::824b:50ff:fe2d:e39c,AUTOMATICO,255/255,639,210520,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:C8,212601SLC000661,bde3::824b:50ff:fe2d:dec8,AUTOMATICO,255/255,623,223645,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E1:CE,212601SLC000640,bde3::824b:50ff:fe2d:e1ce,AUTOMATICO,255/255,622,ERROR,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DD:2D,212601SLC000724,bde3::824b:50ff:fe2d:dd2d,AUTOMATICO,255/255,600,62643,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:4A:6C,212601SLC000726,bde3::86fd:27ff:fefe:4a6c,AUTOMATICO,255/255,620,196145,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DD:F4,212601SLC000727,bde3::824b:50ff:fe2d:ddf4,AUTOMATICO,255/255,593,205602,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DD:E3,212601SLC000762,bde3::824b:50ff:fe2d:dde3,AUTOMATICO,255/255,592,757446,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DB:C3,212601SLC000739,bde3::824b:50ff:fe2d:dbc3,AUTOMATICO,255/255,617,62653,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E0:41,212601SLC000731,bde3::824b:50ff:fe2d:e041,AUTOMATICO,255/255,595,1382770,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DD:DE,212601SLC000721,bde3::824b:50ff:fe2d:ddde,AUTOMATICO,255/255,623,77975,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E4:F5,212601SLC000732,bde3::824b:50ff:fe2d:e4f5,AUTOMATICO,255/255,622,135473,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E3:EE,212601SLC000737,bde3::824b:50ff:fe2d:e3ee,AUTOMATICO,255/255,619,135475,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:92,212601SLC000736,bde3::86fd:27ff:fefe:4892,AUTOMATICO,255/255,616,261310,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:3F,212601SLC000738,bde3::824b:50ff:fe2d:de3f,AUTOMATICO,255/255,626,261316,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:49:61,212601SLC000728,bde3::86fd:27ff:fefe:4961,AUTOMATICO,255/255,638,370814,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DD:DF,212601SLC000735,bde3::824b:50ff:fe2d:dddf,AUTOMATICO,255/255,605,212086,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DF:31,212601SLC000718,bde3::824b:50ff:fe2d:df31,AUTOMATICO,255/255,611,1383328,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:E8,212601SLC000719,bde3::86fd:27ff:fefe:48e8,AUTOMATICO,255/255,610,744964,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DF:0D,212601SLC000746,bde3::824b:50ff:fe2d:df0d,AUTOMATICO,255/255,606,2125999,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E0:FA,212601SLC000725,bde3::824b:50ff:fe2d:e0fa,AUTOMATICO,255/255,619,66489,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:E3,212601SLC000730,bde3::86fd:27ff:fefe:48e3,AUTOMATICO,255/255,642,210580,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E2:9B,212601SLC000722,bde3::824b:50ff:fe2d:e29b,AUTOMATICO,255/255,631,42673,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:49:A5,212601SLC000720,bde3::86fd:27ff:fefe:49a5,AUTOMATICO,255/255,611,212102,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:A4,212601SLC000734,bde3::824b:50ff:fe2d:dea4,AUTOMATICO,255/255,607,63437,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:49,212601SLC000729,bde3::824b:50ff:fe2d:de49,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
80:4B:50:FF:FE:2D:DE:4D,212601SLC000733,bde3::824b:50ff:fe2d:de4d,AUTOMATICO,255/255,634,313046,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E1:64,212601SLC000740,bde3::824b:50ff:fe2d:e164,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
84:FD:27:FF:FE:FE:48:A6,212601SLC000723,bde3::86fd:27ff:fefe:48a6,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
84:FD:27:FF:FE:FE:48:45,212601SLC000801,bde3::86fd:27ff:fefe:4845,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
80:4B:50:FF:FE:2D:E3:4F,212601SLC000312,bde3::824b:50ff:fe2d:e34f,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
80:4B:50:FF:FE:2D:E0:AB,212601SLC000326,bde3::824b:50ff:fe2d:e0ab,AUTOMATICO,255/255,613,570599,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:48:A5,212601SLC000743,bde3::86fd:27ff:fefe:48a5,AUTOMATICO,255/255,778,226231,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E0:BA,212601SLC000317,bde3::824b:50ff:fe2d:e0ba,AUTOMATICO,255/255,602,951960,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E3:73,212601SLC000895,bde3::824b:50ff:fe2d:e373,AUTOMATICO,255/255,612,137268,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DE:52,212601SLC000223,bde3::824b:50ff:fe2d:de52,AUTOMATICO,255/255,609,540324,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:DB:6A,212601SLC000652,bde3::824b:50ff:fe2d:db6a,AUTOMATICO,255/255,612,19575,V5.1.2,10.8.10.4
80:4B:50:FF:FE:2D:E2:9A,212601SLC000111,bde3::824b:50ff:fe2d:e29a,AUTOMATICO,255/255,613,1107915,V5.1.2,10.8.10.4
84:FD:27:FF:FE:FE:46:F3,212601SLC000945,bde3::86fd:27ff:fefe:46f3,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
B4:35:22:FF:FE:23:2D:46,225001SLC000787,bde3::b635:22ff:fe23:2d46,AUTOMATICO,255/255,61396,135994,V6.0.9,10.8.10.4
B4:35:22:FF:FE:22:F2:B7,225001SLC000885,bde3::b635:22ff:fe22:f2b7,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
B4:35:22:FF:FE:22:FF:DF,225001SLC000843,bde3::b635:22ff:fe22:ffdf,AUTOMATICO,-21.98002/-44.93521,542,837059,V6.0.9,10.8.10.4
B4:35:22:FF:FE:22:F2:A7,225001SLC000866,bde3::b635:22ff:fe22:f2a7,AUTOMATICO,255/255,81896,223790,V6.0.9,10.8.10.4
B4:35:22:FF:FE:22:F2:C5,225001SLC000886,bde3::b635:22ff:fe22:f2c5,AUTOMATICO,255/255,12766,223793,V6.0.9,10.8.10.4
B4:35:22:FF:FE:22:FF:EA,225001SLC000837,bde3::b635:22ff:fe22:ffea,AUTOMATICO,-21.9796/-44.93604,5068,681037,V6.0.9,10.8.10.4
B4:35:22:FF:FE:22:B9:FB,225101SLC000009,bde3::b635:22ff:fe22:b9fb,AUTOMATICO,255/255,519,63536,V5.1.2-1-g3d7d,10.8.10.4
B4:35:22:FF:FE:22:B1:38,225001SLC000819,bde3::b635:22ff:fe22:b138,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.10.4
80:4B:50:FF:FE:2D:DC:29,212601SLC000933,bde3::824b:50ff:fe2d:dc29,AUTOMATICO,255/255,535,740002,V5.1.2-1-g3d7d,10.8.10.4
80:4B:50:FF:FE:2D:E1:CA,212601SLC000231,bde3::824b:50ff:fe2d:e1ca,ERROR,ERROR,ERROR,ERROR,ERROR,10.8.4.27
