PROJETO,ID
Nouvenn IoT,5a403c70-9066-4d5b-a197-9d1f877aab00
INATEL - Piraí-RJ,9fab3b92-09e2-4dc8-a33b-d26fcedbb8e0
ENGIE - Uberlandia-MG,f560ba96-f075-4dca-be14-0ee2c8978b76
(DESATIVADO) - ENELX - Angra dos Reis-RJ,0d87eb04-1adc-403e-8d8f-6a61871b6086
QUANTUM - Florianopolis-SC,f244368c-db14-4e03-b6f5-76dfe3ac84c4
NOUVENN - Parque de Testes-MG,b53c977f-7afd-4eef-9442-1e97f4da3af0
INATEL - Caxambu-MG,ad5179d4-783b-4f26-82fa-ec4fe5ef1fd4
ENELX - Angra dos Reis-RJ,a342f3a7-6e5b-4ed9-81da-699da323c78f
INATEL - Santa Rita do Sapucaí-MG,60116e96-6c57-41a1-a960-3b0f892a10f7
NOUVENN - Guaruja-SP,08e76c57-b472-4f32-b32a-9f95102de271
BOTEGA - Forquilhinha-SC,625af82d-03a8-442d-b762-785cc0b80334
BOTEGA - Imbituba-SC,031c1d79-d763-4fab-bd89-e0f66947062e
ENELX - Caruaru-PE,4ae96abd-dbaa-4df2-8287-e4ee9e46c59a
VIVO PILOTO IOT - Barretos-SP,c998fd3b-79a2-451b-a0dc-dab94b9c44da
INATEL NOUVENN - Futurecom-SP,6cc282e9-8f26-4021-bb4b-35394e9ad75c
VIVO NOUVENN - Demo-BR,e6c8ad03-b186-411c-beec-daa1ed612fc8
SPE MAUA LUZ - Maua-SP,84b7b4bc-ad71-447c-988f-272d7b2206ea
BHIP - Belo Horizonte-MG,ecfc4354-4978-4a67-b199-2444ab2c9bcb
QLUZ - Nova Serrana-MG,aa2e90b2-6835-4ab1-86fd-e48c99c8c588
NOUVENN - Showcase-BR,7d796553-40d8-4d7e-a1f8-a78980ce09d3
QLUZ - Itajaí-SC,49318f87-d0f5-49da-826c-c8cb2034a97e
BOTEGA - Forquilhinha-2024-218603-SC,413a7b91-9f24-44d3-864b-78564ba1cfe4
JD2 - São Francisco do Conde-BA,78350e72-c805-4381-b5c8-a2a511f6a299
LUZ DE SAO MANUEL - Sao Manuel-SP,bf614201-d8dd-45c4-9a09-dd476d5bb9fc
SCEC-EnelX,7a58b2c5-30e7-4651-92a2-087a516995d6
SCEC-Tradetek,52477ebd-5a74-4c77-96a6-e48a61b289fc
LUZ DE AGUDOS - Agudos-SP,836a4e40-b93a-4071-b02f-247920516914
SELT - Contagem-MG,53fdd12e-e6c2-4f4b-b1c4-a0d0f354813d
LUZ DE CATAGUASES - Cataguases-MG,d02951c1-ad1a-4374-ade1-82710cc04059
NOUVENN-Estoque,acf81e6f-5067-4db9-ac11-fa17af15616d
Nouvenn HOMOLOG,da8ea98f-9424-4e19-af97-af841ea705bb
Nouvenn-EDP,2265fa45-5f1e-4179-8805-80f45c6fa57a
